barcode,line,stand,bin,location
048675555401,27,2,3,27-2-3
048675555418,27,2,3,27-2-3
048675555425,27,2,3,27-2-3
048675555449,27,2,3,27-2-3
048675555524,27,2,3,27-2-3
048675555531,27,2,3,27-2-3
048675555548,27,2,3,27-2-3
048675555555,27,2,3,27-2-3
048675555562,27,2,3,27-2-3
048675555579,27,2,3,27-2-3
048675555586,27,2,3,27-2-3
048675555654,27,2,3,27-2-3
048675555661,27,2,3,27-2-3
048675555678,27,2,3,27-2-3
048675555685,27,2,3,27-2-3
048675555708,27,2,3,27-2-3
048675555722,27,2,3,27-2-3
048675555739,27,2,3,27-2-3
048675555753,27,2,3,27-2-3
048675555760,27,2,3,27-2-3
048675555852,27,2,3,27-2-3
048675555869,27,2,3,27-2-3
048675555883,27,2,3,27-2-3
048675555906,27,2,3,27-2-3
048675555920,27,2,3,27-2-3
048675555944,27,2,3,27-2-3
048675557023,27,2,3,27-2-3
048675557184,27,2,3,27-2-3
048675557542,27,2,3,27-2-3
048675557733,27,2,3,27-2-3
048675557740,27,2,3,27-2-3
048675557757,27,2,3,27-2-3
048675557771,27,2,3,27-2-3
048675557788,27,2,3,27-2-3
048675560603,27,2,3,27-2-3
048675560634,27,2,3,27-2-3
048675560672,27,2,3,27-2-3
048675560849,27,2,3,27-2-3
048675561068,27,2,3,27-2-3
048675561259,27,2,3,27-2-3
048675561280,27,2,3,27-2-3
048675932752,27,2,3,27-2-3
048675933025,27,2,3,27-2-3
048675955072,27,3,1,27-3-1
048675955157,27,2,1,27-2-1
048675955195,27,2,3,27-2-3
048675958592,27,3,1,27-3-1
048675958608,27,3,1,27-3-1
048675958615,27,3,1,27-3-1
048676460993,27,2,3,27-2-3
048677970993,27,2,3,27-2-3
048677987993,27,2,3,27-2-3
048677995993,27,2,3,27-2-3
048677996993,27,2,3,27-2-3
048677997793,27,2,3,27-2-3
048677997893,27,2,3,27-2-3
050051105148,35,1,1,35-1-1
050051119091,35,1,1,35-1-1
050051119114,35,1,1,35-1-1
050051119435,35,1,3,35-1-3
050051119466,35,1,1,35-1-1
050051119473,35,1,1,35-1-1
050051119480,35,1,2,35-1-2
050051119503,35,1,2,35-1-2
050051119541,35,1,2,35-1-2
050051119558,35,1,2,35-1-2
050051119572,35,1,2,35-1-2
050051119596,35,1,1,35-1-1
050051120479,35,1,2,35-1-2
050051120486,35,1,2,35-1-2
050051120493,35,1,2,35-1-2
050051120691,35,1,2,35-1-2
050051120998,35,1,1,35-1-1
050051126631,35,1,3,35-1-3
050051126648,35,1,1,35-1-1
050051405149,35,1,2,35-1-2
050051405170,35,1,2,35-1-2
050051406856,35,1,1,35-1-1
050051406979,35,1,1,35-1-1
050051406986,35,1,2,35-1-2
051497373955,15,0,16,15-0-16
051497374068,19,4,1,19-4-1
051497374341,15,6,2,15-6-2
051497374358,15,6,2,15-6-2
051497374365,18,7,0,18-7-0
051497374372,3,0,0,3-0-0
051497374389,4,6,2,4-6-2
051497374396,4,6,2,4-6-2
051497374402,3,0,0,3-0-0
051497374419,4,0,0,4-0-0
051497374426,3,0,0,3-0-0
051497374433,5,0,6,5-0-6
051497374440,7,4,1,7-4-1
051497374457,13,1,4,13-1-4
051497374525,6,5,4,6-5-4
051497374563,4,3,1,4-3-1
051497401177,3,0,0,3-0-0
051497401184,4,5,2,4-5-2
051497401207,7,3,1,7-3-1
051497401214,7,2,1,7-2-1
051497401221,16,5,2,16-5-2
051497401405,4,6,1,4-6-1
051497401412,4,6,2,4-6-2
051497401719,3,1,3,3-1-3
051497401726,3,2,1,3-2-1
051497401740,5,9,3,5-9-3
051497401757,7,10,3,7-10-3
051497401764,7,9,4,7-9-4
051497401771,3,2,2,3-2-2
051497401788,3,1,3,3-1-3
051497401801,8,8,1,8-8-1
051497401825,6,3,1,6-3-1
051497401832,6,3,1,6-3-1
051497401849,6,3,2,6-3-2
051497401863,6,3,2,6-3-2
051497401870,5,11,1,5-11-1
051497401900,6,3,3,6-3-3
051497401924,6,3,1,6-3-1
051497401931,5,11,1,5-11-1
051497401948,6,3,4,6-3-4
051497401962,5,0,6,5-0-6
051497401979,5,11,1,5-11-1
051497402006,5,11,1,5-11-1
051497402013,5,11,1,5-11-1
051497402020,5,11,1,5-11-1
051497402037,5,11,1,5-11-1
051497402044,5,11,1,5-11-1
051497402068,5,11,1,5-11-1
051497402075,6,3,2,6-3-2
051497402082,5,11,1,5-11-1
051497402099,6,3,3,6-3-3
051497402105,5,11,1,5-11-1
051497402112,4,7,2,4-7-2
051497402327,32,2,2,32-2-2
051497402334,32,2,2,32-2-2
052336341456,13,8,6,13-8-6
052336912014,26,1,1,26-1-1
056100079002,9,1,1,9-1-1
058000004498,29,2,4,29-2-4
059675558149,27,2,4,27-2-4
059675558156,27,2,4,27-2-4
059675558163,27,2,4,27-2-4
059675558170,27,2,4,27-2-4
059675558187,27,2,4,27-2-4
059675558255,27,2,4,27-2-4
059675558262,27,2,3,27-2-3
059675558408,27,2,4,27-2-4
059675558453,27,2,4,27-2-4
059675558460,27,2,4,27-2-4
059675558521,27,2,4,27-2-4
059675558637,28,2,3,28-2-3
059675558644,27,2,4,27-2-4
059675558651,27,2,4,27-2-4
059675558668,27,2,4,27-2-4
059675558675,27,2,4,27-2-4
059675558682,27,2,4,27-2-4
059675558750,27,2,3,27-2-3
059675558774,27,2,4,27-2-4
059675558804,27,2,4,27-2-4
059675558828,27,3,4,27-3-4
059675558835,27,3,4,27-3-4
059675558859,27,2,4,27-2-4
059675558866,27,3,4,27-3-4
059675558903,27,2,4,27-2-4
059675558958,27,2,4,27-2-4
059675559016,28,2,3,28-2-3
061200033823,31,5,2,31-5-2
06245166924583,39,1,3,39-1-3
06281276015354,25,0,26,25-0-26
06285005770,24,0,0,24-0-0
06285074004725,37,4,4,37-4-4
06285128000475,25,1,3,25-1-3
06285128000482,25,0,26,25-0-26
06285128002042,38,5,3,38-5-3
06285128005326,38,3,4,38-3-4
06285128006729,38,3,4,38-3-4
06285128011426,38,3,4,38-3-4
06285128014724,38,3,4,38-3-4
06285128015578,38,3,4,38-3-4
06285128016452,38,3,4,38-3-4
0628512895080,37,3,4,37-3-4
063151250199,4,4,4,4-4-4
063151250205,4,4,4,4-4-4
063151250243,4,4,4,4-4-4
063151250250,4,4,5,4-4-5
063151250380,4,4,4,4-4-4
063151250458,16,5,1,16-5-1
063151250724,4,5,5,4-5-5
063151250748,4,4,4,4-4-4
063151332048,23,3,2,23-3-2
063151410005,24,3,2,24-3-2
063151410036,4,5,5,4-5-5
063151600161,24,1,2,24-1-2
063151600178,24,2,4,24-2-4
063151600260,24,2,4,24-2-4
063151610092,24,3,1,24-3-1
063151610108,24,2,4,24-2-4
063151610115,23,1,1,23-1-1
064642073914,37,3,5,37-3-5
064642073921,37,3,2,37-3-2
064642073938,37,3,5,37-3-5
064642073969,37,3,5,37-3-5
064642073983,37,2,5,37-2-5
064642077196,37,2,5,37-2-5
064642077493,37,3,5,37-3-5
064642078483,37,2,5,37-2-5
064642079077,37,2,5,37-2-5
064642079084,37,3,5,37-3-5
064642079527,37,2,5,37-2-5
064642092397,37,3,5,37-3-5
064642092755,37,2,4,37-2-4
064642092878,37,3,3,37-3-3
0653998554859,33,2,5,33-2-5
0653998554880,33,2,5,33-2-5
06974712700050,33,0,34,33-0-34
070330732315,38,2,4,38-2-4
070501111253,40,5,3,40-5-3
070942121576,29,1,4,29-1-4
070942121583,30,6,3,30-6-3
070942121606,30,8,2,30-8-2
070942121613,30,5,1,30-5-1
070942302777,29,6,1,29-6-1
070942304160,10,3,4,10-3-4
070942501248,30,10,4,30-10-4
070942501255,30,9,4,30-9-4
070942501538,30,6,4,30-6-4
070942507240,30,1,1,30-1-1
070942901536,29,6,5,29-6-5
0711500976050,35,3,2,35-3-2
0711500976090,35,3,2,35-3-2
071164301067,8,7,3,8-7-3
071164302231,5,7,2,5-7-2
071164302248,5,7,2,5-7-2
071164302255,5,7,2,5-7-2
071164302286,5,7,2,5-7-2
071164304112,1,2,4,1-2-4
071164343159,1,2,4,1-2-4
071164343258,3,11,3,3-11-3
071164343265,3,11,3,3-11-3
071164343272,3,10,3,3-10-3
071164343555,3,11,3,3-11-3
071164353066,3,11,3,3-11-3
071409542002,1,4,2,1-4-2
071409542026,1,4,2,1-4-2
071409542033,1,5,3,1-5-3
071409542217,1,4,3,1-4-3
071409542255,4,5,4,4-5-4
071409543078,1,4,2,1-4-2
071409543108,1,4,3,1-4-3
071409543139,7,3,4,7-3-4
071409543252,1,4,3,1-4-3
071409543443,8,1,5,8-1-5
071409744215,1,4,3,1-4-3
071409744222,1,4,3,1-4-3
071409744246,1,4,2,1-4-2
071409744253,1,4,2,1-4-2
072140000219,21,1,7,21-1-7
072140000226,21,5,3,21-5-3
072140003043,22,1,4,22-1-4
072140003401,21,5,4,21-5-4
072140011871,21,5,2,21-5-2
072140012083,22,4,2,22-4-2
072140012090,21,5,4,21-5-4
072140019433,22,7,3,22-7-3
072140019464,21,3,1,21-3-1
072140019839,21,5,2,21-5-2
072140019846,21,3,2,21-3-2
072140019853,21,5,3,21-5-3
072140020491,21,1,7,21-1-7
072140020910,21,5,4,21-5-4
072140021955,22,4,3,22-4-3
072140024406,21,5,2,21-5-2
072140024611,22,0,0,22-0-0
072140025038,21,5,3,21-5-3
072140025649,21,1,7,21-1-7
072140026035,22,4,2,22-4-2
072140026493,21,5,3,21-5-3
072140026677,21,5,5,21-5-5
072140030148,21,5,4,21-5-4
072140031480,21,5,3,21-5-3
072140031800,21,5,4,21-5-4
072140032227,21,5,2,21-5-2
072140032234,21,5,4,21-5-4
072140032258,21,5,5,21-5-5
072140032647,21,5,5,21-5-5
072140034832,22,10,3,22-10-3
072140035372,22,4,3,22-4-3
072140036096,22,4,3,22-4-3
072140038687,21,5,4,21-5-4
072140110154,21,5,6,21-5-6
072140110161,21,1,7,21-1-7
072140110192,21,5,4,21-5-4
072140110208,21,1,7,21-1-7
072140633783,21,5,3,21-5-3
072140633820,21,1,7,21-1-7
072140633868,21,3,2,21-3-2
072140634131,21,5,4,21-5-4
072140634292,21,5,3,21-5-3
072140634827,21,1,7,21-1-7
072140636265,21,1,7,21-1-7
072140636289,21,5,5,21-5-5
072140737634,21,5,2,21-5-2
072928655228,34,5,4,34-5-4
073950270991,37,3,3,37-3-3
073950271073,38,4,2,38-4-2
0745604461986,12,7,3,12-7-3
075371002588,15,6,4,15-6-4
075371002830,15,5,4,15-5-4
075371002939,15,6,4,15-6-4
075371002946,16,4,1,16-4-1
075371002953,15,5,4,15-5-4
075371003035,15,5,5,15-5-5
075371003233,15,6,4,15-6-4
075371007637,14,5,1,14-5-1
075371015120,14,5,1,14-5-1
075371015168,14,5,1,14-5-1
075371015205,14,5,1,14-5-1
075486087432,26,1,3,26-1-3
075486087470,15,10,5,15-10-5
075486087609,15,10,5,15-10-5
075486088552,26,1,3,26-1-3
075486088729,26,1,3,26-1-3
075486089658,26,1,2,26-1-2
075486091118,26,1,4,26-1-4
075486091125,26,1,4,26-1-4
075486091132,15,10,5,15-10-5
075486091484,15,10,5,15-10-5
075486091859,15,10,5,15-10-5
